question,question_sent_count,question_tok_count,label,question_modality_strong,question_modality_weak,question_uncertainty,question_positive,question_negative,VOLA_PRIOR,VIX,SIZE,INDUSTRY,BTM,SUE,date,ticker
Still thinking sometime in {DATE} maybe,1,6,1,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,1.965873858,11.59,8839.6,6,0.084908317,1.66321,2006-Feb-28,ADSK
Okay Also on the value toothpaste we are hearing from P&G that they believe they are becoming a category leader overall in oral care and that as such there will be less and less space for minor brands some of which are in your portfolio Is it possible that you would just discontinue some of the smaller brands that have been under pressure for so much time,3,67,1,0.0,0.014925373134328358,0.029850746268656716,0.0,0.014925373134328358,1.010060424,14.95,8125.8993599999985,8,1.036517038,2.59808,2006-Aug-01,XEL
Is the comp constant currency that negative {CARDINAL} comp,1,9,1,0.0,0.0,0.0,0.0,0.1111111111111111,1.0761575840000002,15.05,14570.59899,8,0.817120588,0.02008,2006-Aug-02,PCG
Good {TIME} can you hear me,1,6,1,0.0,0.0,0.0,0.16666666666666666,0.0,2.024386578,15.05,25325.70592,9,0.108748861,1.49384,2006-Aug-02,SBUX
Okay Do you still consider them as a potential outsourcing client again,2,12,1,0.0,0.0,0.0,0.0,0.0,2.077341938,14.34,14474.19392,8,0.597365072,3.09713,2006-Aug-03,WMB
Great And you agree that Equifax is outperformance in that segment increased in {DATE} right,2,15,1,0.0,0.0,0.0,0.06666666666666667,0.0,2.077341938,14.34,14474.19392,8,0.597365072,3.09713,2006-Aug-03,WMB
And then that accelerates in {DATE},1,6,1,0.0,0.0,0.0,0.0,0.0,1.675783485,15.23,105494.8852,6,0.221350604,2.66338,2006-Aug-08,CSCO
And given that what are the prospects to try to begin to build something like the work number in other countries It seems like it has been such a home run that I realize it probably would take {DATE} But is that something that is on your radar,3,48,1,0.0,0.0,0.041666666666666664,0.0,0.0,1.349759301,15.2,39094.93312,9,0.31461308600000004,0.8723,2006-Aug-10,TGT
Okay Secondly if you just looked at fasten exclusive of the graphics and reflective business was the operating income sort of up or down or flat {DATE},2,27,1,0.0,0.0,0.0,0.037037037037037035,0.0,1.349759301,15.2,39094.93312,9,0.31461308600000004,0.8723,2006-Aug-10,TGT
Okay And you would say both for your own operations and then also what you are hearing from suppliers for their own costs,2,23,1,0.0,0.0,0.0,0.0,0.0,2.342797786,12.99,23121.34878,9,0.201206563,1.57266,2006-Sep-12,BBY
Do you feel like you are winning your fair share of that on the retail side,1,16,1,0.0,0.0,0.0,0.0625,0.0,2.342797786,12.99,23121.34878,9,0.201206563,1.57266,2006-Sep-12,BBY
I would assume a review of the dividend is not for a lower dividend but a higher dividend,1,18,1,0.0,0.0,0.05555555555555555,0.0,0.0,2.342797786,12.99,23121.34878,9,0.201206563,1.57266,2006-Sep-12,BBY
