,question_sent_count,question_tok_count,label,question_modality_strong,question_modality_weak,question_uncertainty,question_positive,question_negative
0,1,1,0,0,0,0,0,1
1,2,19,1,0,0.05263157894736842,0,0,0.05263157894736842
2,4,53,0,0.01886792452830189,0,0,0,0
3,7,112,1,0,0.01785714285714286,0.01785714285714286,0,0.01785714285714286
4,8,116,0,0,0,0.01724137931034483,0.008620689655172414,0.008620689655172414
5,6,74,1,0,0.01351351351351351,0,0.04054054054054054,0.01351351351351351
6,8,113,1,0.008849557522123894,0.008849557522123894,0,0.008849557522123894,0.008849557522123894
7,4,48,0,0,0,0,0,0
8,2,73,1,0,0.01369863013698630,0.02739726027397260,0,0
9,5,70,1,0,0.02857142857142857,0,0.01428571428571429,0.01428571428571429
10,12,192,1,0,0.015625,0.015625,0.01041666666666667,0
11,6,120,0,0,0,0.008333333333333333,0.025,0
12,6,139,1,0,0.02158273381294964,0.01438848920863309,0.007194244604316547,0
13,3,82,0,0,0,0.02439024390243902,0,0.01219512195121951
14,5,72,0,0,0,0,0,0.01388888888888889
15,2,50,1,0,0.02,0.04,0.02,0.02
16,3,95,0,0.01052631578947368,0,0.01052631578947368,0.01052631578947368,0.02105263157894737
17,1,24,0,0,0,0,0,0
18,2,13,0,0,0,0,0,0
19,3,87,1,0,0.03448275862068966,0,0.01149425287356322,0.02298850574712644
20,2,44,0,0,0,0,0,0
21,4,80,1,0,0.0125,0,0.0125,0
22,4,70,0,0,0,0,0.02857142857142857,0.01428571428571429
23,1,33,1,0,0.06060606060606061,0,0,0.06060606060606061
24,5,25,1,0.04,0.04,0,0.08,0
25,4,57,0,0,0,0,0.01754385964912281,0
26,4,75,0,0,0,0,0.02666666666666667,0
27,4,89,1,0,0.04494382022471910,0.01123595505617978,0,0.01123595505617978
28,3,25,0,0,0,0,0,0
29,5,66,0,0.01515151515151515,0,0,0,0.03030303030303030
30,4,66,1,0,0.04545454545454545,0,0,0.03030303030303030
31,7,74,0,0,0,0,0,0.02702702702702703
32,2,82,1,0,0.01219512195121951,0,0.01219512195121951,0.03658536585365854
33,6,91,1,0,0.02197802197802198,0,0.01098901098901099,0.01098901098901099
34,10,108,1,0,0.01851851851851852,0.009259259259259259,0.02777777777777778,0
35,3,38,1,0,0.02631578947368421,0,0.07894736842105263,0
36,5,77,0,0,0,0,0,0.05194805194805195
37,7,90,1,0,0.02222222222222222,0,0,0.01111111111111111
38,2,44,0,0,0,0,0,0.04545454545454545
39,7,103,1,0,0.009708737864077670,0.01941747572815534,0.009708737864077670,0.009708737864077670
40,2,13,0,0,0,0,0,0
41,3,97,1,0,0.01030927835051546,0,0,0.02061855670103093
42,2,117,1,0,0.02564102564102564,0,0.03418803418803419,0.01709401709401709
43,6,116,1,0,0.03448275862068966,0.008620689655172414,0.008620689655172414,0.008620689655172414
44,5,73,1,0.01369863013698630,0.01369863013698630,0,0,0.02739726027397260
45,2,135,1,0.01481481481481481,0.01481481481481481,0,0,0
46,2,55,0,0,0,0,0,0.01818181818181818
47,3,46,0,0,0,0,0,0.02173913043478261
48,2,53,0,0,0,0,0,0
49,4,94,1,0,0.01063829787234043,0.01063829787234043,0.01063829787234043,0.02127659574468085
50,3,26,1,0,0.03846153846153846,0,0,0
51,3,63,0,0,0,0.03174603174603175,0.01587301587301587,0.01587301587301587
52,2,13,0,0.07692307692307692,0,0,0,0
